indicator,indicator_type,meta.source,meta.do_notice,meta.desc
103.12.148.37,Intel::ADDR,ABUSE-CH,F,THREATFOX
192.253.229.79,Intel::ADDR,ABUSE-CH,F,THREATFOX
119.45.29.172,Intel::ADDR,ABUSE-CH,F,THREATFOX
109.205.213.121,Intel::ADDR,ABUSE-CH,F,THREATFOX
101.133.148.66,Intel::ADDR,ABUSE-CH,F,THREATFOX
134.122.204.168,Intel::ADDR,ABUSE-CH,F,THREATFOX
8.155.42.155,Intel::ADDR,ABUSE-CH,F,THREATFOX
121.127.246.187,Intel::ADDR,ABUSE-CH,F,THREATFOX
117.72.218.179,Intel::ADDR,ABUSE-CH,F,THREATFOX
8.130.171.18,Intel::ADDR,ABUSE-CH,F,THREATFOX
181.174.164.233,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.107.136.106,Intel::ADDR,ABUSE-CH,F,THREATFOX
116.196.79.169,Intel::ADDR,ABUSE-CH,F,THREATFOX
3.149.27.6,Intel::ADDR,ABUSE-CH,F,THREATFOX
123.57.239.178,Intel::ADDR,ABUSE-CH,F,THREATFOX
13.211.134.20,Intel::ADDR,ABUSE-CH,F,THREATFOX
123.249.70.191,Intel::ADDR,ABUSE-CH,F,THREATFOX
45.207.193.76,Intel::ADDR,ABUSE-CH,F,THREATFOX
59.110.7.32,Intel::ADDR,ABUSE-CH,F,THREATFOX
218.30.103.168,Intel::ADDR,ABUSE-CH,F,THREATFOX
78.128.127.94,Intel::ADDR,ABUSE-CH,F,THREATFOX
218.30.103.154,Intel::ADDR,ABUSE-CH,F,THREATFOX
106.52.208.143,Intel::ADDR,ABUSE-CH,F,THREATFOX
193.112.206.250,Intel::ADDR,ABUSE-CH,F,THREATFOX
121.40.98.34,Intel::ADDR,ABUSE-CH,F,THREATFOX
49.232.151.106,Intel::ADDR,ABUSE-CH,F,THREATFOX
1.54.147.49,Intel::ADDR,ABUSE-CH,F,THREATFOX
43.138.0.179,Intel::ADDR,ABUSE-CH,F,THREATFOX
